,reaction,GPR,score
1690,CBFC2pp,PADL01_1439400-t36_1-p1,2.536363636363636
1691,CBFCpp,PADL01_1439400-t36_1-p1,2.536363636363636
1692,CBFCu,PADL01_1439400-t36_1-p1,2.536363636363636
1707,CBMD,spontaneous,0.0
1711,CBPS,PADL01_1307000-t36_1-p1,1007.3
1713,CBPSn,PADL01_1307000-t36_1-p1,1007.3
1718,CCP2m,(PADL01_1403700-t36_1-p1 or PADL01_1462700-t36_1-p1),129.6
1723,CD2t4,PADL01_0713900-t36_1-p1,70.5
1771,CDPDAGS18111Z160,PADL01_1409500-t36_1-p1,200.7
1772,CDPDAGS18111Z160h,PADL01_1409500-t36_1-p1,200.7
1773,CDPDAGS1819Z160,PADL01_1409500-t36_1-p1,200.7
1774,CDPDAGS1819Z160h,PADL01_1409500-t36_1-p1,200.7
1775,CDPDGPm_SC,PADL01_0819400-t36_1-p1,99.0
1779,CDPMEK,PADL01_0502000-t36_1-p1,54.3
1780,CDPPH,PADL01_1431800-t36_1-p1,68.2
1804,CEF,PADL01_1317000-t36_1-p1,29.075
1880,CFAS160E,PADL01_1342100-t36_1-p1,45.8
1881,CFAS160G,PADL01_1342100-t36_1-p1,45.8
1882,CFAS180E,PADL01_1342100-t36_1-p1,45.8
1883,CFAS180G,PADL01_1342100-t36_1-p1,45.8
1896,CHITOBpts,PADL01_1468900-t36_1-p1,10.32
1905,CHLDA1tu,PADL01_1229700-t36_1-p1,57.0
1906,CHLDA2tu,PADL01_1229700-t36_1-p1,57.0
1909,CHLPCTD,PADL01_1315500-t36_1-p1,193.0
1910,CHLSTD78I,PADL01_1306000-t36_1-p1,63.9
1911,CHLSTI_1,PADL01_1306000-t36_1-p1,63.9
1925,CHOLK,PADL01_1401300-t36_1-p1,76.6
1933,CHORS,PADL01_0621100-t36_1-p1,243.4
1937,CHRS,PADL01_0621100-t36_1-p1,223.4
1949,CHYA2,PADL01_1469500-t36_1-p1,330.5
1956,CITALOR,PADL01_0801300-t36_1-p1,47.4
1979,CITtam,PADL01_1035900-t36_1-p1,43.9
1980,CITtbm,PADL01_1035900-t36_1-p1,43.9
1981,CITtcm,(PADL01_0823100-t36_1-p1 or PADL01_1035900-t36_1-p1),253.1
2027,CMK,PADL01_0502000-t36_1-p1,71.2
2037,CO2t,spontaneous,0.0
2039,CO2tpp,spontaneous,0.0
2040,COA1819ZD9DS,(PADL01_0917100-t36_1-p1 or PADL01_1233000-t36_1-p1),61.2
2043,COAtim,PADL01_0908000-t36_1-p1,61.6
2046,COB2NDARED,spontaneous,0.0
2071,COLIPAabcpp,(PADL01_0522000-t36_1-p1 or PADL01_1143700-t36_1-p1 or PADL01_1351200-t36_1-p1 or PADL01_1447900-t36_1-p1),216.1
2081,COabc,(PADL01_1367100-t36_1-p1 or PADL01_1434000-t36_1-p1),27.55
2091,CPGNexs,spontaneous,0.0
2094,CPK1,PADL01_1007300-t36_1-p1,169.5
2096,CPPPGO,PADL01_1140600-t36_1-p1,122.9
2099,CPPPGO_1,PADL01_1140600-t36_1-p1,149.1
2107,CRNCARtm,PADL01_0823100-t36_1-p1,72.4
2125,CRO4abcpp,PADL01_1426300-t36_1-p1,20.025
2130,CRTNsyn,spontaneous,0.0
2131,CRTNsyn_cho,spontaneous,0.0
2132,CS,PADL01_1021000-t36_1-p1,309.7
2141,CSND,PADL01_1348500-t36_1-p1,70.9
2148,CSm,PADL01_1021000-t36_1-p1,361.7
2149,CSp,PADL01_1021000-t36_1-p1,357.1
2158,CTPS1,PADL01_1409800-t36_1-p1,392.9
2159,CTPS2,PADL01_1409800-t36_1-p1,392.9
2160,CTPtm,PADL01_0823100-t36_1-p1,77.0
2162,CU1abcpp,PADL01_0903900-t36_1-p1,85.5
2164,CU2abcu_syn,PADL01_0903900-t36_1-p1,92.0
2180,CYO1_KT,PADL01_1439400-t36_1-p1,36.333333333333336
2182,CYO1b,PADL01_1430900-t36_1-p1,24.75
2189,CYOO6m,((PADL01_1360600-t36_1-p1 and PADL01_1403700-t36_1-p1 and PADL01_1430900-t36_1-p1) or (PADL01_1360600-t36_1-p1 and PADL01_1430900-t36_1-p1 and PADL01_1462700-t36_1-p1)),91.41999999999999
2191,CYOOm,((PADL01_1403700-t36_1-p1 and PADL01_1430900-t36_1-p1) or PADL01_1430900-t36_1-p1),21.21666666666667
2197,CYOR_q8_m,((PADL01_1403700-t36_1-p1 and PADL01_1439400-t36_1-p1) or (PADL01_1439400-t36_1-p1 and PADL01_1462700-t36_1-p1)),143.9333333333333
2200,CYOR_u6m,((PADL01_1403700-t36_1-p1 and PADL01_1439400-t36_1-p1 and PADL01_1462700-t36_1-p1) or (PADL01_1439400-t36_1-p1 and PADL01_1462700-t36_1-p1)),48.95454545454545
2210,CYSAT,PADL01_0203300-t36_1-p1,192.2
2211,CYSATm,PADL01_0203300-t36_1-p1,192.2
2229,CYSTAm,PADL01_0203300-t36_1-p1,192.2
2236,CYSTRS,PADL01_1013600-t36_1-p1,395.2
2272,CYTK1,PADL01_0109000-t36_1-p1,71.2
2285,CYTK2,PADL01_0109000-t36_1-p1,71.2
2286,CYTK2_1,PADL01_1007300-t36_1-p1,169.5
2302,CYTMQOR3pp,PADL01_1439400-t36_1-p1,16.8
2304,CYTP450R,PADL01_0922200-t36_1-p1,159.5
2305,CYTP450Rh,PADL01_0922200-t36_1-p1,159.5
2306,CY_focytb5_c,(PADL01_0917100-t36_1-p1 or PADL01_1233000-t36_1-p1),61.2
2309,Cobalt2abcppI,PADL01_1434000-t36_1-p1,13.775
2311,Cut1,PADL01_0903900-t36_1-p1,92.0
2318,DADA,PADL01_1028000-t36_1-p1,114.4
2320,DADK,((PADL01_1007300-t36_1-p1 and PADL01_1007300-t36_1-p1) or PADL01_0108500-t36_1-p1 or PADL01_0414800-t36_1-p1 or PADL01_1007300-t36_1-p1),210.3
2335,DAGCPT_SC,PADL01_0626500-t36_1-p1,101.7
2396,DAPOP,PADL01_0625000-t36_1-p1,465.7
2407,DASYN120,PADL01_1409500-t36_1-p1,59.3
2408,DASYN140,PADL01_1409500-t36_1-p1,59.3
2409,DASYN141,PADL01_1409500-t36_1-p1,59.3
2410,DASYN160,PADL01_1409500-t36_1-p1,59.3
2412,DASYN161,PADL01_1409500-t36_1-p1,59.3
2413,DASYN180,PADL01_1409500-t36_1-p1,59.3
2414,DASYN181,PADL01_1409500-t36_1-p1,59.3
2415,DASYN181_9,PADL01_1409500-t36_1-p1,58.9
2416,DASYN182_9_12,PADL01_1409500-t36_1-p1,58.9
2417,DASYN183_6_9_12,PADL01_1409500-t36_1-p1,58.9
2418,DASYN183_9_12_15,PADL01_1409500-t36_1-p1,58.9
2419,DASYN184_6_9_12_15,PADL01_1409500-t36_1-p1,58.9
2424,DASYN_SC,PADL01_1409500-t36_1-p1,256.9
2425,DASYNm_SC,PADL01_1409500-t36_1-p1,256.9
2429,DATPHs,spontaneous,0.0
2467,DDMCITALOR,PADL01_0801300-t36_1-p1,47.4
2474,DESAT16,PADL01_0510100-t36_1-p1,148.7
2476,DESAT18,PADL01_0510100-t36_1-p1,148.7
2492,DES_9,PADL01_0510100-t36_1-p1,120.9
2505,DGDGD4DS1819Z1634Z7Z10Z,PADL01_1317000-t36_1-p1,105.1
2506,DGDGD4DS1829Z12Z1634Z7Z10Z,PADL01_1317000-t36_1-p1,105.1
2507,DGDGD4DS1839Z12Z15Z1634Z7Z10Z,PADL01_1317000-t36_1-p1,105.1
2508,DGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z,PADL01_1317000-t36_1-p1,105.1
2509,DGDGD7DS1819Z1617Z,((PADL01_0510100-t36_1-p1 and PADL01_1317000-t36_1-p1) or PADL01_0510100-t36_1-p1 or PADL01_1317000-t36_1-p1),106.44999999999999
2510,DGDGD7DS1829Z12Z1617Z,((PADL01_0510100-t36_1-p1 and PADL01_1317000-t36_1-p1) or PADL01_0510100-t36_1-p1 or PADL01_1317000-t36_1-p1),106.44999999999999
2529,DGDGW3DS1819Z1637Z10Z13Z,PADL01_1317000-t36_1-p1,52.55
2530,DGDGW3DS1829Z12Z1637Z10Z13Z,PADL01_1317000-t36_1-p1,52.55
2531,DGDGW3DS1839Z12Z15Z160,PADL01_1317000-t36_1-p1,52.55
2532,DGDGW3DS1839Z12Z15Z1627Z10Z,PADL01_1317000-t36_1-p1,52.55
2533,DGDGW3DS1839Z12Z15Z1634Z7Z10Z,PADL01_1317000-t36_1-p1,52.55
2534,DGDGW3DS1839Z12Z15Z1637Z10Z13Z1,PADL01_1317000-t36_1-p1,52.55
2535,DGDGW3DS1839Z12Z15Z1637Z10Z13Z2,PADL01_1317000-t36_1-p1,52.55
2536,DGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z,PADL01_1317000-t36_1-p1,52.55
2537,DGDGW6DS1819Z1627Z10Z,PADL01_1317000-t36_1-p1,52.55
2538,DGDGW6DS1829Z12Z160,PADL01_1317000-t36_1-p1,52.55
2539,DGDGW6DS1829Z12Z1617Z,PADL01_1317000-t36_1-p1,52.55
2540,DGDGW6DS1829Z12Z1619Z,PADL01_1317000-t36_1-p1,52.55
2541,DGDGW6DS1829Z12Z1627Z10Z1,PADL01_1317000-t36_1-p1,52.55
2542,DGDGW6DS1829Z12Z1627Z10Z2,PADL01_1317000-t36_1-p1,52.55
2543,DGDGW6DS1829Z12Z1634Z7Z10Z,PADL01_1317000-t36_1-p1,52.55
2544,DGDGW6DS1829Z12Z1637Z10Z13Z,PADL01_1317000-t36_1-p1,52.55
2548,DGK1,PADL01_0927900-t36_1-p1,139.4
2601,DHBS,PADL01_0040700-t36_1-p1,67.4
2602,DHBSZ3FEexs,spontaneous,0.0
2628,DHFOR,PADL01_0416400-t36_1-p1,389.0
2629,DHFR,PADL01_0416400-t36_1-p1,389.0
2630,DHFR2i,PADL01_0416400-t36_1-p1,389.0
2632,DHFS,(PADL01_0809900-t36_1-p1 or PADL01_1323700-t36_1-p1),156.4
2648,DHORD2,PADL01_0601400-t36_1-p1,211.1
2651,DHORD5,PADL01_0601400-t36_1-p1,211.1
2657,DHORTS,(PADL01_1307000-t36_1-p1 or PADL01_1472800-t36_1-p1),1007.3
2658,DHORTSn,PADL01_1307000-t36_1-p1,1007.3
2669,DHPS,PADL01_0809900-t36_1-p1,109.0
2670,DHPS2,PADL01_0809900-t36_1-p1,119.8
2674,DHPTDCs,spontaneous,0.0
2675,DHPTDCs2,spontaneous,0.0
2682,DHQTi,PADL01_1014300-t36_1-p1,402.1
2684,DHROm,PADL01_0601400-t36_1-p1,125.0
2713,DIPS,PADL01_1007400-t36_1-p1,246.9
2738,DMATT,PADL01_1126700-t36_1-p1,216.1
2744,DMCITALOR,PADL01_0801300-t36_1-p1,47.4
2750,DMPPS,PADL01_0102000-t36_1-p1,231.9
2752,DMQMT,PADL01_0722300-t36_1-p1,57.8
2753,DMQMT6m,PADL01_0722300-t36_1-p1,69.7
2761,DMSOtpp,spontaneous,0.0
2832,DNGALh,PADL01_0925700-t36_1-p1,103.6
2833,DNMPPA,(PADL01_0414200-t36_1-p1 or PADL01_0903900-t36_1-p1 or PADL01_1429900-t36_1-p1),230.7
2835,DNTPPA,(PADL01_0903900-t36_1-p1 or PADL01_1429900-t36_1-p1),200.3
2839,DOLASNT,PADL01_1114700-t36_1-p1,99.1
2858,DOLPMT,PADL01_1139800-t36_1-p1,223.0
2867,DOLPMTcer,PADL01_1139800-t36_1-p1,91.7
2904,DRPA,PADL01_1020000-t36_1-p1,139.0
2905,DRTPPD,PADL01_0913100-t36_1-p1,53.1
2910,DSBDR,PADL01_1457200-t36_1-p1,36.0
2917,DTARTD,PADL01_0926300-t36_1-p1,516.5
2918,DTMPK,PADL01_1251500-t36_1-p1,139.4
2920,DTPH,PADL01_1431800-t36_1-p1,68.2
2936,DUTPDP,(PADL01_0718800-t36_1-p1 or PADL01_1125400-t36_1-p1),100.9
2944,DXHPScm,PADL01_1412200-t36_1-p1,296.6
2945,DXPRIi,PADL01_1467200-t36_1-p1,301.2
2946,DXPS,PADL01_1336300-t36_1-p1,268.1
2947,DXRI,PADL01_1467200-t36_1-p1,275.8
2948,DXS,PADL01_1336300-t36_1-p1,288.9
2951,DYTK2,PADL01_1007300-t36_1-p1,169.5
2952,D_LACDHm,(PADL01_1403700-t36_1-p1 or PADL01_1462700-t36_1-p1),129.6
2953,D_LACDcm,PADL01_1403700-t36_1-p1,66.45
2954,D_LACDm,PADL01_1403700-t36_1-p1,66.45
2959,E4PD,PADL01_1462800-t36_1-p1,430.3
2960,EAR100x,PADL01_0613400-t36_1-p1,92.4
2961,EAR100x_1,PADL01_0613400-t36_1-p1,132.5
2962,EAR100y,PADL01_0613400-t36_1-p1,92.4
2964,EAR120x,PADL01_0613400-t36_1-p1,92.4
2965,EAR120x_1,PADL01_0613400-t36_1-p1,132.5
2966,EAR120y,PADL01_0613400-t36_1-p1,92.4
2968,EAR121x,PADL01_0613400-t36_1-p1,92.4
2969,EAR121y,PADL01_0613400-t36_1-p1,92.4
2970,EAR140x,PADL01_0613400-t36_1-p1,92.4
2971,EAR140x_1,PADL01_0613400-t36_1-p1,132.5
2972,EAR140y,PADL01_0613400-t36_1-p1,92.4
2974,EAR141x,PADL01_0613400-t36_1-p1,92.4
2975,EAR141y,PADL01_0613400-t36_1-p1,92.4
2976,EAR160x,PADL01_0613400-t36_1-p1,92.4
2977,EAR160x_1,PADL01_0613400-t36_1-p1,132.5
2978,EAR160y,PADL01_0613400-t36_1-p1,92.4
2980,EAR161x,PADL01_0613400-t36_1-p1,92.4
2981,EAR161y,PADL01_0613400-t36_1-p1,92.4
2982,EAR180x,PADL01_0613400-t36_1-p1,92.4
2983,EAR180x_1,PADL01_0613400-t36_1-p1,132.5
2984,EAR180y,PADL01_0613400-t36_1-p1,92.4
2985,EAR181x,PADL01_0613400-t36_1-p1,92.4
2986,EAR181x_1,PADL01_0613400-t36_1-p1,132.5
2987,EAR181y,PADL01_0613400-t36_1-p1,92.4
2989,EAR40x,PADL01_0613400-t36_1-p1,92.4
2990,EAR40x_1,PADL01_0613400-t36_1-p1,132.5
2991,EAR40y,PADL01_0613400-t36_1-p1,92.4
2993,EAR60x,PADL01_0613400-t36_1-p1,92.4
2994,EAR60x_1,PADL01_0613400-t36_1-p1,132.5
2995,EAR60y,PADL01_0613400-t36_1-p1,92.4
2997,EAR80x,PADL01_0613400-t36_1-p1,92.4
2998,EAR80x_1,PADL01_0613400-t36_1-p1,132.5
2999,EAR80y,PADL01_0613400-t36_1-p1,92.4
3037,ECOAH8,PADL01_1321900-t36_1-p1,154.5
3041,ECOAR,PADL01_1134100-t36_1-p1,175.6
3051,EGMEACPR,PADL01_0613400-t36_1-p1,92.4
3070,ENO,PADL01_1014300-t36_1-p1,546.6
3072,ENOf,PADL01_1014300-t36_1-p1,546.6
3073,ENOm,PADL01_1014300-t36_1-p1,546.6
3085,EPISTESTH_SC,PADL01_1124900-t36_1-p1,59.7
3087,EPISTt,PADL01_1426300-t36_1-p1,102.1
3088,EPMEACPR,PADL01_0613400-t36_1-p1,92.4
3091,ERGSTAT_SC,PADL01_0321200-t36_1-p1,124.0
3092,ERGSTESTH_SC,PADL01_1124900-t36_1-p1,59.7
3095,ERGSTt,PADL01_1426300-t36_1-p1,102.1
3107,ETHAK,PADL01_1122800-t36_1-p1,138.3
3108,ETHAPT1801819Z,PADL01_0626500-t36_1-p1,124.0
3109,ETHAPT18111Z1819Z,PADL01_0626500-t36_1-p1,124.0
3110,ETHAPT1819Z1819Z,PADL01_0626500-t36_1-p1,124.0
3111,ETHAPT_SC,PADL01_0626500-t36_1-p1,101.7
3122,ETOHtrpp,spontaneous,0.0
3186,FACOAL100p,PADL01_0524100-t36_1-p1,308.5
3187,FACOAL100t2pp,(PADL01_0009300-t36_1-p1 or PADL01_0009800-t36_1-p1 or PADL01_0010700-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0018500-t36_1-p1 or PADL01_0018700-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0037200-t36_1-p1 or PADL01_0040700-t36_1-p1 or PADL01_0524100-t36_1-p1 or PADL01_0729300-t36_1-p1 or PADL01_1201200-t36_1-p1 or PADL01_1239600-t36_1-p1),115.2
3188,FACOAL120p,PADL01_0524100-t36_1-p1,308.5
3189,FACOAL120t2pp,(PADL01_0009300-t36_1-p1 or PADL01_0009800-t36_1-p1 or PADL01_0010700-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0018500-t36_1-p1 or PADL01_0018700-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0037200-t36_1-p1 or PADL01_0040700-t36_1-p1 or PADL01_0524100-t36_1-p1 or PADL01_0729300-t36_1-p1 or PADL01_1201200-t36_1-p1 or PADL01_1239600-t36_1-p1),115.2
3190,FACOAL140,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0524100-t36_1-p1),250.0
3191,FACOAL140_ISO,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1),75.9
3192,FACOAL140p,PADL01_0524100-t36_1-p1,308.5
3193,FACOAL140t2pp,(PADL01_0009300-t36_1-p1 or PADL01_0009800-t36_1-p1 or PADL01_0010700-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0018500-t36_1-p1 or PADL01_0018700-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0037200-t36_1-p1 or PADL01_0040700-t36_1-p1 or PADL01_0524100-t36_1-p1 or PADL01_0729300-t36_1-p1 or PADL01_1201200-t36_1-p1 or PADL01_1239600-t36_1-p1),115.2
3194,FACOAL141,PADL01_0524100-t36_1-p1,250.0
3195,FACOAL141p,PADL01_0524100-t36_1-p1,308.5
3196,FACOAL141t2pp,(PADL01_0009300-t36_1-p1 or PADL01_0009800-t36_1-p1 or PADL01_0010700-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0018500-t36_1-p1 or PADL01_0018700-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0037200-t36_1-p1 or PADL01_0040700-t36_1-p1 or PADL01_0524100-t36_1-p1 or PADL01_0729300-t36_1-p1 or PADL01_1201200-t36_1-p1 or PADL01_1239600-t36_1-p1),115.2
3198,FACOAL150_ISO,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1),75.9
3199,FACOAL150_anteiso,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1),75.9
3200,FACOAL160,(PADL01_0009300-t36_1-p1 or PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0524100-t36_1-p1),420.2
3201,FACOAL160_ISO,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1),75.9
3202,FACOAL160p,PADL01_0524100-t36_1-p1,308.5
3203,FACOAL160t2pp,(PADL01_0009300-t36_1-p1 or PADL01_0009800-t36_1-p1 or PADL01_0010700-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0018500-t36_1-p1 or PADL01_0018700-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0037200-t36_1-p1 or PADL01_0040700-t36_1-p1 or PADL01_0524100-t36_1-p1 or PADL01_0729300-t36_1-p1 or PADL01_1201200-t36_1-p1 or PADL01_1239600-t36_1-p1),115.2
3204,FACOAL161,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0524100-t36_1-p1),250.0
3205,FACOAL161_ISO,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1),75.9
3206,FACOAL161p,PADL01_0524100-t36_1-p1,308.5
3207,FACOAL161t2pp,(PADL01_0009300-t36_1-p1 or PADL01_0009800-t36_1-p1 or PADL01_0010700-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0018500-t36_1-p1 or PADL01_0018700-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0037200-t36_1-p1 or PADL01_0040700-t36_1-p1 or PADL01_0524100-t36_1-p1 or PADL01_0729300-t36_1-p1 or PADL01_1201200-t36_1-p1 or PADL01_1239600-t36_1-p1),115.2
3209,FACOAL170_ISO,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1),75.9
3210,FACOAL170_anteiso,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1),75.9
3211,FACOAL171_ISO,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1),75.9
3212,FACOAL171_anteiso,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1),75.9
3213,FACOAL180,PADL01_0524100-t36_1-p1,250.0
3214,FACOAL180_1,PADL01_0524100-t36_1-p1,420.2
3215,FACOAL180_2,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1),75.9
3216,FACOAL180t2pp,(PADL01_0009300-t36_1-p1 or PADL01_0009800-t36_1-p1 or PADL01_0010700-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0018500-t36_1-p1 or PADL01_0018700-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0037200-t36_1-p1 or PADL01_0040700-t36_1-p1 or PADL01_0524100-t36_1-p1 or PADL01_0729300-t36_1-p1 or PADL01_1201200-t36_1-p1 or PADL01_1239600-t36_1-p1),115.2
3217,FACOAL181,(PADL01_0009800-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0524100-t36_1-p1),250.0
3218,FACOAL18111Z,PADL01_0524100-t36_1-p1,420.2
3221,FACOAL181_1,PADL01_0524100-t36_1-p1,420.2
3222,FACOAL181t2pp,(PADL01_0009300-t36_1-p1 or PADL01_0009800-t36_1-p1 or PADL01_0010700-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0018500-t36_1-p1 or PADL01_0018700-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0037200-t36_1-p1 or PADL01_0040700-t36_1-p1 or PADL01_0524100-t36_1-p1 or PADL01_0729300-t36_1-p1 or PADL01_1201200-t36_1-p1 or PADL01_1239600-t36_1-p1),115.2
3223,FACOAL182,PADL01_0524100-t36_1-p1,250.0
3224,FACOAL1821,PADL01_0524100-t36_1-p1,420.2
3226,FACOAL1831,PADL01_0524100-t36_1-p1,420.2
3227,FACOAL1832,PADL01_0524100-t36_1-p1,420.2
3254,FACOAL60t2pp,(PADL01_0009300-t36_1-p1 or PADL01_0009800-t36_1-p1 or PADL01_0010700-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0018500-t36_1-p1 or PADL01_0018700-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0037200-t36_1-p1 or PADL01_0040700-t36_1-p1 or PADL01_0524100-t36_1-p1 or PADL01_0729300-t36_1-p1 or PADL01_1201200-t36_1-p1 or PADL01_1239600-t36_1-p1),115.2
3255,FACOAL80,PADL01_0524100-t36_1-p1,180.6
3256,FACOAL80p,PADL01_0524100-t36_1-p1,308.5
3257,FACOAL80t2pp,(PADL01_0009300-t36_1-p1 or PADL01_0009800-t36_1-p1 or PADL01_0010700-t36_1-p1 or PADL01_0018300-t36_1-p1 or PADL01_0018500-t36_1-p1 or PADL01_0018700-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0037200-t36_1-p1 or PADL01_0040700-t36_1-p1 or PADL01_0524100-t36_1-p1 or PADL01_0729300-t36_1-p1 or PADL01_1201200-t36_1-p1 or PADL01_1239600-t36_1-p1),115.2
3264,FADRx2,PADL01_0922200-t36_1-p1,48.15
3285,FALDtpp,spontaneous,0.0
3286,FALGTHLs,spontaneous,0.0
3439,FAS100,PADL01_1469500-t36_1-p1,191.25
3442,FAS100COA,PADL01_1469500-t36_1-p1,191.25
3443,FAS120,PADL01_1469500-t36_1-p1,191.25
3446,FAS120COA,PADL01_1469500-t36_1-p1,191.25
3447,FAS140,PADL01_1469500-t36_1-p1,191.25
3450,FAS140COA,PADL01_1469500-t36_1-p1,191.25
3451,FAS141,PADL01_0919000-t36_1-p1,63.5
3453,FAS160,PADL01_1469500-t36_1-p1,191.25
3456,FAS160COA,PADL01_1469500-t36_1-p1,191.25
3457,FAS161,PADL01_0919000-t36_1-p1,63.5
3459,FAS180,PADL01_1469500-t36_1-p1,191.25
3462,FAS180COA,PADL01_1469500-t36_1-p1,191.25
3463,FAS181,PADL01_0919000-t36_1-p1,63.5
3467,FAS240_L,((PADL01_0106800-t36_1-p1 and PADL01_0106800-t36_1-p1 and PADL01_1134100-t36_1-p1) or PADL01_0106800-t36_1-p1),78.83333333333333
3468,FAS260,((PADL01_0106800-t36_1-p1 and PADL01_0106800-t36_1-p1 and PADL01_1134100-t36_1-p1) or PADL01_0106800-t36_1-p1),78.83333333333333
3472,FAS80COA_L,PADL01_1469500-t36_1-p1,191.25
3473,FAS80_L,PADL01_1469500-t36_1-p1,191.25
3474,FASC120ACP,PADL01_0921900-t36_1-p1,46.519999999999996
3475,FASC140ACP,PADL01_0921900-t36_1-p1,46.519999999999996
3476,FASC141ACP,PADL01_0921900-t36_1-p1,46.519999999999996
3477,FASC160ACP,PADL01_0921900-t36_1-p1,46.519999999999996
3478,FASC161ACP,PADL01_0921900-t36_1-p1,46.519999999999996
3479,FASC180ACP,PADL01_0921900-t36_1-p1,46.519999999999996
3480,FASC181ACP,PADL01_0921900-t36_1-p1,46.519999999999996
3481,FASC182ACP,PADL01_0921900-t36_1-p1,46.519999999999996
3482,FASC200ACP,PADL01_0921900-t36_1-p1,46.519999999999996
3483,FASC201ACP,PADL01_0921900-t36_1-p1,46.519999999999996
