,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
no_ortho_PreichenowiG01,APAPTm,CRNCARtm,DOLASNT,CBFCc,ANXANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfragileNilgiri,DHORD2,APAPTm,DOLASNT,CBFCc,GHMT2r_ap,PLDAGAT_EPA_EPA_ARA_PC_6_c,RE3289R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Chominis30976,CRNCARtm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TannulataAnkara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EdisparSAW760,NALN6,FEDCabc,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreichenowiCDC,APAPTm,CRNCARtm,DOLASNT,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumDd2,APAPTm,CRNCARtm,DOLASNT,THZPSN_mt2,THZPSNm,GHMT2r_ap,PLDAGAT_MYRS_EPA_ARA_PC_6_c,FAO141p_odd,PLDAGAT_LNA_EPA_ARA_PC_5_c,3NTD2pp_1,PLDAGAT_HDE_EPA_DHA_PC_8_c,FA141COAabcp,PLDAGAT_LNA_EPA_ARA_PC_6_c,3OAS180_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiVAND,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EnecatrixHoughton,ILETRSm,THRTRSm,MCBTS3,PBALm,HISTRSm,PHETRSm,MCBTS2,MCBTS,LYSTRSm,HBZOPT6m_1,ALATL,ACSERLm,ASPTRSm,CRNCARtm,DOLASNT,VALTRSm,SECYSTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_AalgeraePRA109,ACONMT,PC6YM,CPC6MT,DIPS,THZPSN3,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EcanceriGB1,DIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PblacklockiG01,DHORD2,APAPTm,CRNCARtm,DOLASNT,CBFCc,THZPSN_mt2,THZPSNm,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_BmicrotiRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_BsaltansLakeKonstanz,DHORD2,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumSN01,APAPTm,CRNCARtm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LbraziliensisMHOMBR75M2903,APAPTm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EcuniculiEC2,DIPS,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumDd2,APAPTm,CRNCARtm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LmajorSD75,DOLASNT,PLDAGAT_HDE_EPA_DHA_PE_10_c,PLDAGAT_PALM_EPA_ARA_PC_5_c,PLDAGAT_EPA_EPA_DHA_PE_10_c,PLDAGAT_PALM_EPA_DHA_PE_10_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_SneuronaSOSN1,ACSERSULLm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Bdivergens1802A,DOLASNTc,CBFCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiME49,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LspMARLEM2494,APAPTm,DOLASNT,PLDAGAT_HDE_HDE_LNA_PC_5_c,PLDAGAT_LNA_EPA_LNA_PC_5_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Candersoni30847,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_GintestinalisAssemblageAWB,FEDCabc,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PcynomolgiM,APAPTm,CRNCARtm,DOLASNT,AGAT_LLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PyoeliiyoeliiYM,APAPTm,DOLASNT,PLDAGAT_EPA_EPA_ARA_PC_3_c,PLDAGAT_EPA_EPA_ARA_PE_11_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumKH02,APAPTm,DOLASNT,THZPSN_mt2,THZPSNm,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EhistolyticaHM1IMSS-B,NALN6,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_VcorneaeATCC50505,4M2OPLOXRD,DIPS,3M2OBLOXRD,3M2OPLOXRD,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Pgallinaceum8A,APAPTm,DOLASNT,PLDAGAT_DHA_EPA_DHA_PC_1_c,PLDAGAT_EPA_EPA_LNA_PC_7_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_MdaphniaeUGP3,PLDAGAT16018111Z1819Z2,PLDAGAT16018111Z1819Z4,PLDAGAT1601819Z1601,PLDAGAT1601819Z18111Z1,PLDAGAT1601819Z1819Z3,PLDAGAT1601819Z1819Z4,PLDAGAT18111Z1819Z1601,PLDAGAT18111Z1819Z1602,PLDAGAT18111Z1819Z18111Z1,PLDAGAT1819Z18111Z1601,PLDAGAT1819Z18111Z1819Z1,PLDAGAT1819Z18111Z1819Z4,PLDAGAT1819Z1819Z18111Z1,PLDAGAT1819Z1819Z18111Z2,PLDAGAT1819Z1819Z18111Z3,PLDAGAT16018111Z1601,PLDAGAT16018111Z1602,PLDAGAT1601819Z18111Z2,PLDAGAT1601819Z18111Z3,PLDAGAT1801819Z18111Z1,PLDAGAT1801819Z1819Z3,PLDAGAT18111Z18111Z1601,PLDAGAT18111Z18111Z18111Z2,PLDAGAT18111Z18111Z1819Z4,PLDAGAT18111Z1819Z1819Z1,PLDAGAT18111Z1819Z1819Z3,PLDAGAT18111Z1819Z1819Z4,PLDAGAT1819Z18111Z1819Z2,PLDAGAT1819Z1819Z1601,PLDAGAT1819Z1819Z1819Z1,PLDAGAT1819Z1819Z1819Z2,PLDAGAT1819Z1819Z1819Z3,PLDAGAT1819Z1819Z1819Z4,PLDAGAT16018111Z18111Z1,PLDAGAT16018111Z18111Z2,PLDAGAT16018111Z1819Z3,PLDAGAT1801819Z1819Z2,PLDAGAT18111Z18111Z1819Z3,PLDAGAT18111Z1819Z18111Z2,PLDAGAT18111Z1819Z18111Z3,PLDAGAT1819Z18111Z1602,PLDAGAT1819Z18111Z18111Z1,PLDAGAT1819Z18111Z18111Z3,PLDAGAT1819Z18111Z1819Z3,BC10_new,PLDAGAT16018111Z18111Z3,PLDAGAT16018111Z1819Z1,PLDAGAT1601819Z1602,PLDAGAT1601819Z1819Z1,PLDAGAT1601819Z1819Z2,PLDAGAT1801819Z1601,PLDAGAT1801819Z1602,PLDAGAT1801819Z18111Z2,PLDAGAT1801819Z18111Z3,PLDAGAT1801819Z1819Z1,PLDAGAT1801819Z1819Z4,PLDAGAT18111Z18111Z1602,PLDAGAT18111Z18111Z18111Z1,PLDAGAT18111Z18111Z18111Z3,PLDAGAT18111Z18111Z1819Z1,PLDAGAT18111Z18111Z1819Z2,PLDAGAT18111Z1819Z1819Z2,PLDAGAT1819Z18111Z18111Z2,PLDAGAT1819Z1819Z1602,DOLASNTc,CBFCc,FAH1829Z12Zc,FAH1819Zc
no_ortho_CparvumIowaII,FAS141ACPm,FAS181ACPm,PTOR,FAS182ACPm,FAS80ACPm_L,CRNCARtm,FAS161ACPm,DOLASNT,ACOAD1fm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NfowleriATCC30863,NALN6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgrayiANR4,DES_6,DES_6B,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LbraziliensisMHOMBR75M2904,APAPTm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumHB3,APAPTm,CRNCARtm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EcuniculiGBM1,DIPS,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiTgCatPRC2,DHORD2,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PknowlesiMalayanPk1A,APAPTm,CRNCARtm,DOLASNT,CBFCc,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumKE01,APAPTm,CRNCARtm,DOLASNT,THZPSN_mt2,THZPSNm,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TvaginalisG3,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LamazonensisMHOMBR71973M2269,APAPTm,DOLASNT,PLDAGAT_HDE_EPA_EPA_PE_14_c,PLDAGAT_OLE_PALM_PALM_PE_14_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PadleriG01,DHORD2,APAPTm,CRNCARtm,DOLASNT,CBFCc,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EmitisHoughton,G12MT4,ACSERLm,DOLASNT,G12MT3,CBFCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumSD01,APAPTm,CRNCARtm,DOLASNT,THZPSN_mt2,THZPSNm,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiMAS,DHORD2,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LtropicaL590,APAPTm,DOLASNT,PLDAGAT_DHA_EPA_ARA_PC_5_c,PLDAGAT_DHA_EPA_ARA_PE_16_c,PLDAGAT_LNA_EPA_ARA_PC_2_c,PLDAGAT_PALM_EPA_ARA_PE_16_c,PLDAGAT_LNA_EPA_ARA_PC_5_c,PLDAGAT_PALM_PALM_LNA_PC_1_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EfalciformisBayerHaberkorn1970,DOLASNT,PLDAGAT_LNA_EPA_ARA_PC_2_c,PLDAGAT_PALM_EPA_ARA_PC_1_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Pfalciparum3D7,APAPTm,CRNCARtm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PpraefalciparumG01,APAPTm,CRNCARtm,DOLASNT,CBFCc,PLDAGAT_HDE_EPA_LNA_PC_1_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LseymouriATCC30220,NALN6,APAPTm,AGAT_LLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyoeliiyoelii17X,APAPTm,CRNCARtm,DOLASNT,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PadleriG01,APAPTm,CRNCARtm,DOLASNT,CBFCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziCLBrenerEsmeraldo-like,APAPTm,DOLASNT,PLDAGAT_LNA_EPA_LNA_PC_5_c,PLDAGAT_HDE_EPA_ARA_PE_11_c,PLDAGAT_MYRS_EPA_ARA_PE_11_c,PLDAGAT_HDE_EPA_ARA_PC_6_c,PLDAGAT_HDE_HDE_LNA_PC_3_c,PLDAGAT_LNA_EPA_LNA_PC_1_c,PLDAGAT_HDE_HDE_LNA_PC_7_c,PLDAGAT_HDE_EPA_LNA_PC_3_c,PLDAGAT_HDE_EPA_LNA_PC_1_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LarabicaLEM1108,APAPTm,DOLASNT,PLDAGAT_HDE_PALM_PALM_PC_2_c,PLDAGAT_HDE_EPA_OLE_PE_11_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Cubiquitum39726,CRNCARtm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EromaleaeSJ2008,DIPS,DXHPScmc,OHPHM6nc,PCW3DS_MYRS_EPA_sn2_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumCD01,APAPTm,CRNCARtm,DOLASNT,CBFCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TorientalisShintoku,PYRShi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Pvivax-likePvl01,APAPTm,DOLASNT,CBFCc,PLDAGAT_OLE_EPA_DHA_PC_4_c,PLDAGAT_OLE_HDE_OLE_PE_16_c,PLDAGAT_PALM_EPA_DHA_PC_4_c,PLDAGAT_EPA_EPA_LNA_PE_16_c,PLDAGAT_PALM_PALM_LNA_PE_16_c,MDH_nadp_hi,ANXANOR,NTRIR_h,ALCDH_nadp_hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EbrunettiHoughton,DHORD2,DOLASNT,AHSERL4,PLDAGAT_HDE_MYRS_LNA_PE_13_c,PLDAGAT_HDE_HDE_LNA_PE_13_c,PLDAGAT_PALM_EPA_LNA_PC_1_c,PLDAGAT_EPA_EPA_ARA_PC_1_c,PCW3DS_STC_EPA_sn2_c,PLDAGAT_DHA_EPA_DHA_PE_11_c,PLDAGAT_HDE_PALM_LNA_PC_8_c,PLDAGAT_MYRS_EPA_ARA_PC_1_c,PLDAGAT_EPA_EPA_LNA_PE_13_c,PLDAGAT_HDE_HDE_LNA_PC_6_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumGN01,APAPTm,CRNCARtm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziSylvioX10-1,LIPOS,APAPTm,THZPSN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EcuniculiEcunIII-L,DIPS,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LmexicanaMHOMGT2001U1103,APAPTm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EmaximaWeybridge,CRNCARtm,DOLASNT,CYANSTm,ACSERSULLm,CBFCc,GRGTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_BayalaiB08-376,PLDAGAT16018111Z1819Z2,PLDAGAT16018111Z1819Z4,PLDAGAT1601819Z1601,PLDAGAT1601819Z18111Z1,PLDAGAT1601819Z1819Z3,PLDAGAT1601819Z1819Z4,PLDAGAT18111Z1819Z1601,PLDAGAT18111Z1819Z1602,PLDAGAT18111Z1819Z18111Z1,PLDAGAT1819Z18111Z1601,PLDAGAT1819Z18111Z1819Z1,PLDAGAT1819Z18111Z1819Z4,PLDAGAT1819Z1819Z18111Z1,PLDAGAT1819Z1819Z18111Z2,PLDAGAT1819Z1819Z18111Z3,PLDAGAT16018111Z1601,PLDAGAT16018111Z1602,PLDAGAT1601819Z18111Z2,PLDAGAT1601819Z18111Z3,PLDAGAT1801819Z18111Z1,PLDAGAT1801819Z1819Z3,PLDAGAT18111Z18111Z1601,PLDAGAT18111Z18111Z18111Z2,PLDAGAT18111Z18111Z1819Z4,PLDAGAT18111Z1819Z1819Z1,PLDAGAT18111Z1819Z1819Z3,PLDAGAT18111Z1819Z1819Z4,PLDAGAT1819Z18111Z1819Z2,PLDAGAT1819Z1819Z1601,PLDAGAT1819Z1819Z1819Z1,PLDAGAT1819Z1819Z1819Z2,PLDAGAT1819Z1819Z1819Z3,PLDAGAT1819Z1819Z1819Z4,PLDAGAT16018111Z18111Z1,PLDAGAT16018111Z18111Z2,PLDAGAT16018111Z1819Z3,PLDAGAT1801819Z1819Z2,PLDAGAT18111Z18111Z1819Z3,PLDAGAT18111Z1819Z18111Z2,PLDAGAT18111Z1819Z18111Z3,PLDAGAT1819Z18111Z1602,PLDAGAT1819Z18111Z18111Z1,PLDAGAT1819Z18111Z18111Z3,PLDAGAT1819Z18111Z1819Z3,APAPTm,PLDAGAT16018111Z18111Z3,PLDAGAT16018111Z1819Z1,PLDAGAT1601819Z1602,PLDAGAT1601819Z1819Z1,PLDAGAT1601819Z1819Z2,PLDAGAT1801819Z1601,PLDAGAT1801819Z1602,PLDAGAT1801819Z18111Z2,PLDAGAT1801819Z18111Z3,PLDAGAT1801819Z1819Z1,PLDAGAT1801819Z1819Z4,PLDAGAT18111Z18111Z1602,PLDAGAT18111Z18111Z18111Z1,PLDAGAT18111Z18111Z18111Z3,PLDAGAT18111Z18111Z1819Z1,PLDAGAT18111Z18111Z1819Z2,PLDAGAT18111Z1819Z1819Z2,PLDAGAT1819Z18111Z18111Z2,PLDAGAT1819Z1819Z1602,,,,
no_ortho_TgondiiGT1,DHORD2,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LtarentolaeParrotTarII,APAPTm,DOLASNT,PLDAGAT_PALM_EPA_LNA_PE_12_c,PLDAGAT_LNA_EPA_GLNA_PE_16_c,PLDAGAT_EPA_EPA_LNA_PC_7_c,PLDAGAT_EPA_EPA_ARA_PE_14_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumGB4,APAPTm,CRNCARtm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PovalecurtisiGH01,APAPTm,DOLASNT,CBFCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PbergheiANKA,APAPTm,CRNCARtm,DOLASNT,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PinuiSanAntonio1,APAPTm,CRNCARtm,DOLASNT,CBFCc,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PvivaxSal1,APAPTm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumIT,APAPTm,CRNCARtm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EnuttalliP19,NALN6,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumGA01,APAPTm,CRNCARtm,DOLASNT,THZPSN_mt2,THZPSNm,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PpraefalciparumG01,DHORD2,APAPTm,CRNCARtm,DOLASNT,CBFCc,THZPSNm,THZPSN_mt2,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EhistolyticaKU27,NALN6,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
