,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
PfalciparumCD01,DES_9,LIPOS,DXHPScm,ORNTArm,ADSHm,APAPTm,CRNCARtm,DOLASNT,HCGALm,CBFCc,FAS260_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,PUNP2,LCAT1e,THZPSN_mt2,THZPSNm,CPPPGO_ap,HMBS_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvivaxSal1,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,ADSHm,APAPTm,CRNCARtm,DOLASNT,THZPSN_mt2,THZPSNm,FAS260_ap,FACOAL181t2pp_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,HMBS_ap,CPPPGO_ap,GHMT2r_ap,LCAT1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TbruceiLister427_2018,THZPSN,DES_9,ACSERSULLm,LIPOS,PMEACPE,PCDAGAT,DES_15,APAPTm,ACSERLm,DOLASNT,MIPC324PLC_SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PvivaxP01,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,DOLASNT,PLDPC_HDE_EPA_c,DAGAH_DHA_ARA_c,PLDPC_HDE_ARA_c,PLDPC_HDE_DHA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_AspWSBS2006,THZPSN,ARMT,C190cSN,HYDFDi,DIPS,NNMT,FEDCabc,THZSN,DXHPScmc,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PvinckeipetteriCR,THZPSN,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,PCDAGAT,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,THZSN,DOLASNT,CBFCc,PLDAGAT_HDE_EPA_ARA_PE_13_c,PLA2PE_LNA_ARA_c,DAGAH_PALM_DHA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EhistolyticaHM3IMSS,5DOAN,MTAN,THZPSN,AGM4PH,PUNP2,PUNP6,NALN6,AGM3PH,AGMH,AHCYSNS,THZSN,DXHPScmc,DOLASNTc,lipid4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumKH02,DES_9,LIPOS,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyoeliiyoelii17XNL,THZPSN,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,PCDAGAT,ADSHm,APAPTm,CRNCARtm,DOLASNT,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,GHMT2r_ap,HMBS_ap,THZPSN_mt2,THZPSNm,DOLASNT_pf,FAS260_ap,LCAT1e,PUNP2,CPPPGO_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PconfusumCUL13,THZPSN,FAS141ACPm,FAS181ACPm,DES_9,LIPOS,FAS182ACPm,NALN6,FAS180ACPm,APAPTm,FAS161ACPm,DES_6,DES_6B,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PblacklockiG01,DES_9,LIPOS,DXHPScm,ORNTArm,CITALOR,ADSHm,APAPTm,CRNCARtm,DMCITALOR,DOLASNT,HCGALm,CBFCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EhellemSwiss,THZPSN,HYDFDN,HYDFDi,DIPS,PLBPC_SC,FEDCabc,DXHPScmc,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TparvaMuguga,THZPSN,DLYSOXGAT,THZSN,DXHPScmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_GintestinalisAssemblageEP15,PUNP4,TMDPP,THZPSN,PUNP6,THZSN,DXHPScmc,DOLASNTc,MTAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumKH01,DES_9,LIPOS,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TtheileriEdinburgh,THZPSN,ACSERSULLm,LIPOS,APAPTm,ACSERLm,DES_6,DES_6B,DOLASNT,PLDAGAT_PALM_ARA_PALM_PE_14_c,PLDPE_EPA_LNA_c,PLDAGAT_EPA_EPA_LNA_PE_16_c,PLDAGAT_PALM_EPA_DHA_PE_10_c,DAGAH_HDE_DHA_c,PLDAGAT_PALM_PALM_LNA_PE_10_c,PLDAGAT_HDE_EPA_LNA_PE_16_c,PLDAGAT_HDE_HDE_LNA_PE_10_c,DAGAH_HDE_ARA_c,PLDAGAT_PALM_ARA_PALM_PE_10_c,PLDAGAT_HDE_HDE_LNA_PE_15_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_ThominisUnknown,THZPSN,KAS16,C190cSN,KAS_HP2,FASC201ACP,PLDAGAT16018111Z1819Z2,PLDAGAT16018111Z1819Z4,PLDAGAT1601819Z1601,PLDAGAT1601819Z18111Z1,PLDAGAT1601819Z1819Z3,PLDAGAT1601819Z1819Z4,PLDAGAT18111Z1819Z1601,PLDAGAT18111Z1819Z1602,PLDAGAT18111Z1819Z18111Z1,PLDAGAT1819Z18111Z1601,PLDAGAT1819Z18111Z1819Z1,PLDAGAT1819Z18111Z1819Z4,PLDAGAT1819Z1819Z18111Z1,PLDAGAT1819Z1819Z18111Z2,PLDAGAT1819Z1819Z18111Z3,AOXSr2,FASC221ACP,FASC240ACP,PLDAGAT16018111Z1601,PLDAGAT16018111Z1602,PLDAGAT1601819Z18111Z2,PLDAGAT1601819Z18111Z3,PLDAGAT1801819Z18111Z1,PLDAGAT1801819Z1819Z3,PLDAGAT18111Z18111Z1601,PLDAGAT18111Z18111Z18111Z2,PLDAGAT18111Z18111Z1819Z4,PLDAGAT18111Z1819Z1819Z1,PLDAGAT18111Z1819Z1819Z3,PLDAGAT18111Z1819Z1819Z4,PLDAGAT1819Z18111Z1819Z2,PLDAGAT1819Z1819Z1601,PLDAGAT1819Z1819Z1819Z1,PLDAGAT1819Z1819Z1819Z2,PLDAGAT1819Z1819Z1819Z3,PLDAGAT1819Z1819Z1819Z4,DIPS,PCDAGAT,FEDCabc,FASC141ACP,FASC161ACP,PLDAGAT16018111Z18111Z1,PLDAGAT16018111Z18111Z2,PLDAGAT16018111Z1819Z3,PLDAGAT1801819Z1819Z2,PLDAGAT18111Z18111Z1819Z3,PLDAGAT18111Z1819Z18111Z2,PLDAGAT18111Z1819Z18111Z3,PLDAGAT1819Z18111Z1602,PLDAGAT1819Z18111Z18111Z1,PLDAGAT1819Z18111Z18111Z3,PLDAGAT1819Z18111Z1819Z3,KAS_HP,FASC182ACP,PLDAGAT16018111Z18111Z3,PLDAGAT16018111Z1819Z1,PLDAGAT1601819Z1602,PLDAGAT1601819Z1819Z1,PLDAGAT1601819Z1819Z2,PLDAGAT1801819Z1601,PLDAGAT1801819Z1602,PLDAGAT1801819Z18111Z2,PLDAGAT1801819Z18111Z3,PLDAGAT1801819Z1819Z1,PLDAGAT1801819Z1819Z4,PLDAGAT18111Z18111Z1602,PLDAGAT18111Z18111Z18111Z1,PLDAGAT18111Z18111Z18111Z3,PLDAGAT18111Z18111Z1819Z1,PLDAGAT18111Z18111Z1819Z2,PLDAGAT18111Z1819Z1819Z2,PLDAGAT1819Z18111Z18111Z2,PLDAGAT1819Z1819Z1602,SHSL2,DXHPScmc,OHPHM6nc,,,
no_ortho_LpanamensisMHOMCOL81L13,THZPSN,FAS141ACPm,FAS181ACPm,DES_9,ACSERSULLm,LIPOS,FAS182ACPm,FAS180ACPm,APAPTm,ACSERLm,FAS161ACPm,NPPDO,DES_6,DES_6B,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiVEG,THZPSN,PSERDm_SC,DES_9,LIPOS,CPPPGOAN2,DHORD2,CPPPGO2,ALASm,THZSN,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_ChominisTU502_2012,THZPSN,FAS141ACPm,FAS181ACPm,PSERDm_SC,SUCFUMtm,PTOR,CLPNS2_BS,HKNTDH,DXHPScm,FAS160ACPm,FAS182ACPm,OAAICITtm,FAS120ACPm,FAS140ACPm,FAS180ACPm,FAS80ACPm_L,ADSHm,CRNCARtm,FAS100ACPm,FAS161ACPm,THZSN,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_BbovisT2Bo,THZPSN,THZSN,DXHPScmc,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EpraecoxHoughton,THZPSN,ARMT,ORNTAC,DES_9,ACSERSULLm,LIPOS,MTAP,OAAICITtm,MG3A,DIPS,LNS14DMx,CITALOR,ACSERLm,AMALT4,ALASm,OIVD3m,BADP,DMCITALOR,DOLASNT,MG3B,ACOAD1fm,ACOADH160_m,ACOADH120_m,ACOADH140_m,ACOADH100_m,AMETt2m,ACOADH80_m,ACOADH60_m,CYSS_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EacervulinaHoughton,THZPSN,PSERDm_SC,DES_9,LIPOS,MG3A,ADSHm,G12MT4,ALASm,THZSN,OIVD3m,DOLASNT,G12MT3,MG3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PgaboniG01,DES_9,LIPOS,DXHPScm,ORNTArm,CITALOR,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,DMCITALOR,DOLASNT,HCGALm,CBFCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PknowlesiH,DES_9,LIPOS,DXHPScm,ERGSTESTH_SC,FECOSTESTH_SC,ADSHm,APAPTm,APCS,CRNCARtm,EPISTESTH_SC,SPRMS,DOLASNT,PLDAGAT_LNA_EPA_LNA_PE_13_c,PUNP2,IDHPOXOXb,PLDAGAT_HDE_PALM_LNA_PE_11_c,PLDAGAT_MYRS_EPA_LNA_PE_11_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TequiWA,THZPSN,DLYSOXGAT,PAPSR,NOS,NOS2_1,PAPSR2,THZSN,DXHPScmc,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NparisiiERTm1,THZPSN,LNS14DM,4M2OPLOXRD,PDHa,AOXSr2,AOXSr,PCDAGAT,SERPT,OIVD1r,OIVD2,OBDHc,FEDCabc,THZPSN3,3M2OBLOXRD,3M2OPLOXRD,OIVD3,PFOR,SHSL2,ALASmc,DXHPScmc,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CfelisWinnie,THZPSN,DLYSOXGAT,NOS,NOS2_1,THZSN,CBFCc,DXHPScmc,DOLASNTc,PLDAGAT_HDE_EPA_OLE_PE_13_c,DAGAH_STC_DHA_c,PLDAGAT_EPA_EPA_LNA_PE_10_c,PLA2PC_EPA_STA_c,PLDPC_EPA_ALNA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_BovataMiyake,THZPSN,NOS,NOS2_1,THZSN,BCAROKTc,CBFCc,CEFc,DXHPScmc,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LdonovaniCL-SL,THZPSN,DES_9,ACSERSULLm,LIPOS,APAPTm,ACSERLm,THZSN,NPPDO,DES_6,DES_6B,PLDAGAT_HDE_ARA_ARA_PE_15_c,PLA2PE_PALM_DHA_c,PLDAGAT_MYRS_EPA_PALM_PE_12_c,PLDAGAT_HDE_EPA_OLE_PE_14_c,PLDPE_EPA_ARA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PneurophiliaMK1,THZPSN,PLDAGAT16018111Z1819Z2,PLDAGAT16018111Z1819Z4,PLDAGAT1601819Z1601,PLDAGAT1601819Z18111Z1,PLDAGAT1601819Z1819Z3,PLDAGAT1601819Z1819Z4,PLDAGAT18111Z1819Z1601,PLDAGAT18111Z1819Z1602,PLDAGAT18111Z1819Z18111Z1,PLDAGAT1819Z18111Z1601,PLDAGAT1819Z18111Z1819Z1,PLDAGAT1819Z18111Z1819Z4,PLDAGAT1819Z1819Z18111Z1,PLDAGAT1819Z1819Z18111Z2,PLDAGAT1819Z1819Z18111Z3,PLDAGAT16018111Z1601,PLDAGAT16018111Z1602,PLDAGAT1601819Z18111Z2,PLDAGAT1601819Z18111Z3,PLDAGAT1801819Z18111Z1,PLDAGAT1801819Z1819Z3,PLDAGAT18111Z18111Z1601,PLDAGAT18111Z18111Z18111Z2,PLDAGAT18111Z18111Z1819Z4,PLDAGAT18111Z1819Z1819Z1,PLDAGAT18111Z1819Z1819Z3,PLDAGAT18111Z1819Z1819Z4,PLDAGAT1819Z18111Z1819Z2,PLDAGAT1819Z1819Z1601,PLDAGAT1819Z1819Z1819Z1,PLDAGAT1819Z1819Z1819Z2,PLDAGAT1819Z1819Z1819Z3,PLDAGAT1819Z1819Z1819Z4,DIPS,FEDCabc,PLDAGAT16018111Z18111Z1,PLDAGAT16018111Z18111Z2,PLDAGAT16018111Z1819Z3,PLDAGAT1801819Z1819Z2,PLDAGAT18111Z18111Z1819Z3,PLDAGAT18111Z1819Z18111Z2,PLDAGAT18111Z1819Z18111Z3,PLDAGAT1819Z18111Z1602,PLDAGAT1819Z18111Z18111Z1,PLDAGAT1819Z18111Z18111Z3,PLDAGAT1819Z18111Z1819Z3,PLDAGAT16018111Z18111Z3,PLDAGAT16018111Z1819Z1,PLDAGAT1601819Z1602,PLDAGAT1601819Z1819Z1,PLDAGAT1601819Z1819Z2,PLDAGAT1801819Z1601,PLDAGAT1801819Z1602,PLDAGAT1801819Z18111Z2,PLDAGAT1801819Z18111Z3,PLDAGAT1801819Z1819Z1,PLDAGAT1801819Z1819Z4,PLDAGAT18111Z18111Z1602,PLDAGAT18111Z18111Z18111Z1,PLDAGAT18111Z18111Z18111Z3,PLDAGAT18111Z18111Z1819Z1,PLDAGAT18111Z18111Z1819Z2,PLDAGAT18111Z1819Z1819Z2,PLDAGAT1819Z18111Z18111Z2,PLDAGAT1819Z1819Z1602,FE3DCITabcppc,DXHPScmc,OHPHM6nc,,,,,,,,,,,,,,,
no_ortho_Pchabaudichabaudi,THZPSN,DLYSOXGAT,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,ADSHm,APAPTm,APCS,SPRMS,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfalciparum3D7,DES_9,LIPOS,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,ACCOAC_ap,G3PD1ir_ap,GLUDy_ap,FUT94g_cho,DAGAH_MYRS_DHA_c,ABO6g_cho,PLDAGAT_PALM_PALM_LNA_PC_1_c,FUT14g_cho,DAGAH_STC_EPA_c,G14N8g,ABO4g_cho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_GniphandrodesUnknown,ACSERSULLm,DHORD4i,DXHPScm,GCC2bim,GCCbim,OMCDCm,ACSERSULL,AHSERL3,ADSHm,APAPTm,ACSERLm,ADPDA,GLYCLm,SLCYSS,DAPDA,DOLASNT,CBL_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PcynomolgiM,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,ADSHm,APAPTm,CRNCARtm,DOLASNT,THZPSN_mt2,THZPSNm,FAS260_ap,CPPPGO_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,LCAT1e,HMBS_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_AcastellaniiNeff,CRNBTCT,TMDPP,FUCASE2,LIPOS,NALN6,ATRZCH,FUCASE,MM3c,MM2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pgallinaceum8A,DES_9,LIPOS,DXHPScm,FECOSTESTH_SC,PCDAGAT,ADSHm,APAPTm,CRNCARtm,EPISTESTH_SC,DOLASNT,PUNP2,THZPSN_mt2,THZPSNm,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,LCAT1e,HMBS_ap,CPPPGO_ap,FAS260_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NbombycisCQ1,ACONMT,BWCOS,THZPSN,RAFH,C190cSN,BMOCOS,DIPS,LNS14DMx,PLBPC_SC,FEDCabc,THZSN,DXHPScmc,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Slophii42_110,THZPSN,PLDAGAT16018111Z1819Z2,PLDAGAT16018111Z1819Z4,PLDAGAT1601819Z1601,PLDAGAT1601819Z18111Z1,PLDAGAT1601819Z1819Z3,PLDAGAT1601819Z1819Z4,PLDAGAT18111Z1819Z1601,PLDAGAT18111Z1819Z1602,PLDAGAT18111Z1819Z18111Z1,PLDAGAT1819Z18111Z1601,PLDAGAT1819Z18111Z1819Z1,PLDAGAT1819Z18111Z1819Z4,PLDAGAT1819Z1819Z18111Z1,PLDAGAT1819Z1819Z18111Z2,PLDAGAT1819Z1819Z18111Z3,PLDAGAT16018111Z1601,PLDAGAT16018111Z1602,PLDAGAT1601819Z18111Z2,PLDAGAT1601819Z18111Z3,PLDAGAT1801819Z18111Z1,PLDAGAT1801819Z1819Z3,PLDAGAT18111Z18111Z1601,PLDAGAT18111Z18111Z18111Z2,PLDAGAT18111Z18111Z1819Z4,PLDAGAT18111Z1819Z1819Z1,PLDAGAT18111Z1819Z1819Z3,PLDAGAT18111Z1819Z1819Z4,PLDAGAT1819Z18111Z1819Z2,PLDAGAT1819Z1819Z1601,PLDAGAT1819Z1819Z1819Z1,PLDAGAT1819Z1819Z1819Z2,PLDAGAT1819Z1819Z1819Z3,PLDAGAT1819Z1819Z1819Z4,DIPS,LNS14DMx,PCDAGAT,FEDCabc,PLDAGAT16018111Z18111Z1,PLDAGAT16018111Z18111Z2,PLDAGAT16018111Z1819Z3,PLDAGAT1801819Z1819Z2,PLDAGAT18111Z18111Z1819Z3,PLDAGAT18111Z1819Z18111Z2,PLDAGAT18111Z1819Z18111Z3,PLDAGAT1819Z18111Z1602,PLDAGAT1819Z18111Z18111Z1,PLDAGAT1819Z18111Z18111Z3,PLDAGAT1819Z18111Z1819Z3,THZSN,PLDAGAT16018111Z18111Z3,PLDAGAT16018111Z1819Z1,PLDAGAT1601819Z1602,PLDAGAT1601819Z1819Z1,PLDAGAT1601819Z1819Z2,PLDAGAT1801819Z1601,PLDAGAT1801819Z1602,PLDAGAT1801819Z18111Z2,PLDAGAT1801819Z18111Z3,PLDAGAT1801819Z1819Z1,PLDAGAT1801819Z1819Z4,PLDAGAT18111Z18111Z1602,PLDAGAT18111Z18111Z18111Z1,PLDAGAT18111Z18111Z18111Z3,PLDAGAT18111Z18111Z1819Z1,PLDAGAT18111Z18111Z1819Z2,PLDAGAT18111Z1819Z1819Z2,PLDAGAT1819Z18111Z18111Z2,PLDAGAT1819Z1819Z1602,DXHPScmc,OHPHM6nc,,,,,,,,,,,,,
no_ortho_PfalciparumML01,DES_9,LIPOS,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PovalecurtisiGH01,LIPOS,DXHPScm,DHORD2,ADSHm,APAPTm,DOLASNT,CBFCc,THZPSNm,THZPSN_mt2,FAS260_ap,CPPPGO_ap,FACOAL160t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,FACOAL60t2pp_ap,LCAT1e,HMBS_ap,GHMT2r_ap,PLDAGAT_HDE_EPA_LNA_PE_16_c,PLDAGAT_PALM_EPA_EPA_PE_15_c,PLDAGAT_HDE_EPA_LNA_PC_1_c,DAGAH_LNA_ARA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_BbigeminaBOND,PPCDC,THZPSN,4M2OPLOXRD,FASC201ACP,FASC221ACP,FASC240ACP,GND,FAS260,OIVD1r,OIVD2,FASC141ACP,NOS,NOS2_1,AKGDH,THZPSN3,POLYAO,3M2OBLOXRD,3M2OPLOXRD,OIVD3,PFOR,THZSN,FASC182ACP,GNDc,FAS182ACPmc,DOLASNTc,CBFCc,DXHPScmc,FAS141ACPmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Pyoeliiyoelii17X,THZPSN,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,PCDAGAT,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TbruceiLister427,THZPSN,DES_9,ACSERSULLm,LIPOS,PMEACPE,PCDAGAT,DES_15,APAPTm,ACSERLm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LpanamensisMHOMPA94PSC1,THZPSN,DES_9,ACSERSULLm,LIPOS,APAPTm,ACSERLm,NPPDO,DES_6,DES_6B,DOLASNT,DOLGPP_Uer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Pfalciparum7G8,DES_9,LIPOS,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
